trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
326,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.63241237525398,"{0: 18, 1: 7, 2: 7, 3: 1, 4: 2}",0
327,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.01491602550067,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
328,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.24778279161535,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 5}",0
329,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.99492065397235,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
330,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.900937495156775,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
331,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.0860083646069,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
332,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.01432344814413,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
333,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.32935330588595,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
334,False,"{'a': 0.5, 'e': 1.0}",25,7,-117.36437728671648,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
335,False,"{'a': 0.5, 'e': 1.0}",20,0,-236.5160472813559,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 4}",0
336,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.4232043733334,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
337,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.5703936144242,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
338,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.18737244713448,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
339,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.87206062877516,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
340,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.52546416771001,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
341,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.05389219972815,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
342,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.65355636297376,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
343,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.023343821316,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
344,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.16615067827104,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
345,False,"{'a': 0.5, 'e': 1.0}",30,2,-164.51729302356324,"{0: 12, 1: 3, 2: 10, 3: 3, 4: 0}",1
